,c0,c1,c2,c3,c4,i0,i1,i2,i3,i4,i5,i6,i7
0,7.467555721247609,6.913275449322098,8.683079132493939,8.037916231678174,7.182273563201478,7.39111774421052,7.280905078900796,5.429666069589531,6.577109594623635,7.0922733013610895,7.139807654240197,7.406353809034318,7.969262072160343
1,6.832603688927161,6.825906783909438,6.2955929042213965,7.992432397714312,7.495317273677582,6.158463070045137,8.292938478768138,6.782944640715305,6.266421013686462,7.206702834433037,8.086640481787295,5.823533646161813,7.987130325991292
2,7.618582950061005,8.153476911168068,8.20936272895212,6.009506333696163,7.527460894490903,6.814516591250158,6.207489243653463,6.4907314001725345,5.481168190227006,7.706217787722976,8.588349682959251,7.958039417288315,7.028425569940646
3,8.493950690230307,5.856537352309306,7.250843348193676,8.546115176092105,5.527802278945678,6.52730408394849,9.237502713929292,7.868713966357331,4.235417096267083,6.105238656473711,6.918558842265623,7.746873494547681,7.195853871911549
4,6.736793880960916,6.170719705663692,7.318163043754618,5.490617794212894,7.760886888692379,7.421671160006882,7.516273624359762,7.5975554456091965,5.11330412296823,8.049918661902508,7.9161965399912955,6.287536265651816,5.557701659809352
5,6.736836720597038,7.96956430191274,5.0956431035559495,6.322710679643254,7.239967865775092,7.536602405483754,5.440004648483963,6.689324460007086,8.039205493168406,7.814635825414595,8.074027522056898,7.226985049674696,6.440188754590884
6,8.55021291491558,6.337748939686373,4.863021827088651,7.426493726472797,6.301566382090911,7.877363107387992,6.114229627419208,5.8751713249194815,6.931983631555149,7.233175284731277,7.199098379175917,9.045237696150908,6.3753025624852535
7,7.738461250423066,7.8338394172317924,6.845352735414075,6.09393265763814,6.18717454495431,7.33446895697097,8.38043812270858,7.960778956624888,7.775768420735892,7.462995787039253,8.998413210438684,6.4544551996488595,6.538485397812459
8,6.501578557197174,8.632764787938882,7.312808234485019,7.211325867980025,6.6028021430940775,7.157909596991349,8.202679318441149,6.855032369275283,6.357742880520912,8.159843808527652,8.085840807393701,7.663673110115203,7.859672171622001
9,7.8675935001404325,7.951354526356201,7.531986528800403,7.467880694613014,5.2570942398285005,7.0345787425453485,6.452646778275752,8.507029401480473,6.619386563159202,8.605725058725616,6.898363370555859,7.783058656942071,8.47338997534517
10,5.998132573868554,7.077584740199531,5.94311567538292,7.343237333891653,7.380618678773614,5.974799093825379,6.104194394181384,7.827355972666993,6.565729600569316,8.25681686385741,7.953901981284407,7.71701963500275,5.932704148824256
11,6.8817365597508005,4.833884467977599,9.019397524981096,6.70952946924922,8.29202655018102,7.883843704615959,7.884500894386483,4.5152024921318965,6.438474436018196,7.326768289813215,6.8865140903561315,8.220618253128396,6.850858338497796
12,8.67238164864853,6.3836048581027915,7.657588007540855,5.997749994563794,8.064439880904295,6.284592807582783,4.6024752122832036,4.499747111680939,6.275664413114529,7.634570832547099,7.7345541948602605,7.950951821532773,7.184115450412962
13,6.113823583465208,6.306036551897166,6.65389847084342,6.4612961107735165,5.73364917051778,6.0492719387075615,6.471598557566438,7.914255041870706,8.316002279533382,9.304744219139316,8.08474283681037,7.5469935608936405,5.881100485298353
14,8.970144927675502,6.6951338365970114,7.522690701684711,7.89923825366959,6.302948039542667,6.0548937777961465,6.980333920964552,4.907578483993486,6.567196689824682,2.227700849765135,7.473302174220119,7.640828735340916,6.6686962315762015
15,5.481164884413073,5.750768688954691,8.26696643936406,7.042955043326412,7.749310965258658,7.083184583741202,5.924234729789764,5.6791024012169435,7.257615714752891,7.5870607425805,6.753708930919724,7.2362056745626,6.801334768989578
16,9.75559503813809,6.015567451948117,6.858670608218926,5.705200897761715,8.78736663276827,8.153614636670728,6.542802732422317,7.90284937287531,6.771149261658699,8.564203180352424,6.035047088105568,8.241262834032867,8.918906387735207
17,8.19153488853668,7.550609405859973,7.8932405319563745,9.234710834378635,7.6751345402129845,6.043370210870348,7.250148822985944,5.830754643886858,8.398824409802863,5.856501837817714,7.375873047939927,7.451695388973634,7.62251112616287
18,8.309752834304636,7.341984978559907,7.002159814271698,5.574123270369124,6.82934815471711,7.261018705091806,5.3921779847818785,5.990828900464687,6.977790597277089,6.746340030369494,6.47681267831316,7.158279908999103,8.706059913512881
19,6.49612359021856,7.870272552800551,6.606820231020612,6.605020661581889,7.7742723480230955,6.359172592006263,7.9311083694501905,9.202501660996699,7.297344094014157,5.56273931318114,6.5539631810098955,8.739671452171116,7.519266163550909
20,7.48174603335023,4.209188910414825,7.789848496000458,7.22033430653533,6.12508458693117,6.203022293301241,8.41248135706903,5.928069572557566,7.548314958519923,6.439228392256163,8.248292029009757,5.280187020982723,7.989279557507891
21,7.694365049222586,5.054150591553696,7.437911048556837,6.915134306544898,8.352227247917897,6.938438616124055,5.430116346302387,9.503833196555245,5.57696299477491,10.3095900503871,8.790101921120629,6.535695723861965,8.066478925485228
22,7.858317926781581,4.57098335133345,6.935075304708,5.270530587964549,5.379559910952168,6.782057083355792,5.748024301727276,6.932128250555095,6.343912859391294,8.431672463556014,8.295419453650526,7.030072191288811,6.990008060184251
23,7.685739252673793,7.745306988906079,7.027913525484361,7.768904478951264,5.7947531017732254,6.216080103941805,8.508252694613336,5.8720858721965525,6.552258366942085,4.350329044244078,6.830221499518967,7.997579436625014,8.254080588502621
24,6.714204617469992,5.193579252912476,5.831611656349767,7.077377209842084,9.18328322978261,6.1634114548360825,7.243608706821575,7.3881155949005946,6.8430194262056725,7.704134301914714,8.07105320238115,6.011176153443758,8.248662065862575
25,6.5031580787957175,5.221969939486677,6.499950308133218,7.218311033060267,7.562113576858849,7.540814761448716,6.4557717797831495,7.808155863159089,7.72094516913237,8.08404071343139,8.73795614454686,6.674905670322936,6.430248404579526
